CROP,CROP WILD RELATIVE,GENEPOOL,GRAFTSTOCK,TRAIT,ONTOLOGY,BREEDING TYPE
Sunflower,Helianthus divaricatus L.,Tertiary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus divaricatus L.,Tertiary,,Biotic,,Pest Resistance (B)
Sunflower,Helianthus divaricatus L.,Tertiary,,Fertility,,Cytoplasmic Male Sterility (F)
Sunflower,Helianthus petiolaris Nutt. subsp. petiolaris,Secondary,,Abiotic,,Cold Tolerance (AB)
Sunflower,Helianthus petiolaris Nutt. subsp. petiolaris,Secondary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus pauciflorus Nutt.,Tertiary,,Agronomic,,Crop Quality (AG)
Sunflower,Helianthus pauciflorus Nutt.,Tertiary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus pauciflorus Nutt.,Tertiary,,Biotic,,Pest Resistance (B)
Sunflower,Helianthus pauciflorus Nutt.,Tertiary,,Fertility,,Cytoplasmic Male Sterility (F)
Sunflower,Helianthus pauciflorus Nutt. subsp. pauciflorus,Tertiary,,Agronomic,,Crop Quality (AG)
Sunflower,Helianthus pauciflorus Nutt. subsp. pauciflorus,Tertiary,,Biotic,,Disease Resistance (B)
Sunflower,Helianthus pauciflorus Nutt. subsp. pauciflorus,Tertiary,,Phenological,,Early Maturity (P)
Sunflower,Helianthus pauciflorus Nutt. subsp. subrhomboideus (Rydb.) O. Spring & E. E. Schill.,Tertiary,,Abiotic,,Cold Tolerance (AB)
Sunflower,Helianthus pauciflorus Nutt. subsp. subrhomboideus (Rydb.) O. Spring & E. E. Schill.,Tertiary,,Fertility,,Cytoplasmic Male Sterility (F)
Tobacco,Nicotiana attenuata Torr. ex S. Watson,Tertiary,,,,
"Walnut, Black",Juglans cinerea L.,Tertiary,,,,
"Walnut, Black",Juglans nigra L.,,,,,
"Walnut, Black",Juglans nigra L.,Primary,,,,
"Walnut, English",Juglans cinerea L.,Tertiary,,Abiotic,,Cold Tolerance (AB)
"Walnut, English",Juglans nigra L.,Progenitor,Graftstock,,,
"Walnut, English",Juglans nigra L.,Tertiary,,Biotic,,Disease Resistance (B)
"Walnut, Japanese",Juglans nigra L.,Secondary,,Biotic,,Disease Resistance (B)
Wheat,Elymus canadensis L.,Tertiary,,,,
Wheat,Elymus glaucus Buckley,Tertiary,,,,
Wheat,Elymus virginicus L.,Tertiary,,,,
Wheat,Leymus mollis (Trin.) Pilg.,Tertiary,,Abiotic,,Drought Resistance (AB)
Wheat,Leymus mollis (Trin.) Pilg.,Tertiary,,Abiotic,,Heat Tolerance (AB)
Wheat,Leymus mollis (Trin.) Pilg.,Tertiary,,Abiotic,,Salt Tolerance (AB)
Wheat,Leymus mollis (Trin.) Pilg.,Tertiary,,Biotic,,Disease Resistance (B)
Wheat,Leymus innovatus (Beal) Pilg.,Tertiary,,,,
Wheat,Leymus triticoides (Buckley) Pilg.,Tertiary,,Abiotic,,Salt Tolerance (AB)
Wheat,Leymus cinereus (Scribn. & Merr.) Á. Löve,Tertiary,,,,
Wheat,Elymus elymoides (Raf.) Swezey,Tertiary,,,,
Wheat,Elymus hystrix L.,Tertiary,,,,
Wheat,Elymus trachycaulus (Link) Gould ex Shinners,Tertiary,,Biotic,,Disease Resistance (B)
Wheat,Elymus macrourus (Turcz. ex Steud.) Tzvelev,Tertiary,,,,
Wheat,Elymus trachycaulus (Link) Gould ex Shinners subsp. trachycaulus,Tertiary,,,,
Wheat,Elymus curvatus Piper,Tertiary,,,,
Wheat,Elymus lanceolatus (Scribn. & J. G. Sm.) Gould,Tertiary,,,,
Wheat,Elymus scribneri (Vasey) M. E. Jones,Tertiary,,,,
Wheat,Elymus wiegandii Fernald,Tertiary,,,,
Wheat,Elymus trachycaulus (Link) Gould ex Shinners subsp. subsecundus (Link) Á. Löve & D. Löve,Tertiary,,,,
Wheat,Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. lanceolatus,Tertiary,,,,
Wheat,Elymus glaucus Buckley subsp. glaucus,Tertiary,,,,
Wheat,Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. psammophilus (J. M. Gillett & H. Senn) Á. Löve,Tertiary,,,,
Wheat,Elymus glaucus Buckley subsp. virescens (Piper) Gould,Tertiary,,,,
Wheat,Elymus lanceolatus (Scribn. & J. G. Sm.) Gould subsp. riparius (Scribn. & J. G. Sm.) Barkworth,Tertiary,,,,
Wheat,Elymus riparius Wiegand,Tertiary,,,,
Wheat,Elymus hirsutus J. Presl,Tertiary,,,,
Wheat,Elymus violaceus (Hornem.) Feilberg,Tertiary,,,,
Wheat,Elymus albicans (Scribn. & J. G. Sm.) Á. Löve,Tertiary,,,,
Wheat,Leymus mollis (Trin.) Pilg. subsp. mollis,Tertiary,,,,
Wheat,Leymus mollis (Trin.) Pilg. subsp. villosissimus (Scribn.) Á. Löve & D. Löve,Tertiary,,,,
Wheat,Elymus alaskanus (Scribn. & Merr.) Á. Löve,Tertiary,,,,
Witch-Hazel,Hamamelis virginiana L.,,Graftstock,,,
