CROP,CROP.WILD.RELATIVE,GENEPOOL,GRAFTSTOCK,TRAIT,ONTOLOGY,BREEDING.TYPE
Strawberry,Fragaria virginiana,Primary,,Agronomic,NA,Crop Quality (AG)
Strawberry,Fragaria chiloensis subsp. pacifica,Primary,,,NA,
Strawberry,Fragaria virginiana subsp. glauca,Primary,,,NA,
Strawberry,Fragaria vesca subsp. americana,Tertiary,,,NA,
Strawberry,Fragaria virginiana subsp. platypetala,Primary,,,NA,
Strawberry,Fragaria vesca subsp. bracteata,Tertiary,,,NA,
Strawberry,Fragaria virginiana subsp. virginiana,Primary,,,NA,
Strawberry,Fragaria chiloensis subsp. lucida,Primary,,,NA,
Strawberry,Dasiphora fruticosa,Tertiary,,,NA,
Strawberry,Fragaria vesca subsp. bracteata f. bracteata,Tertiary,,,NA,
Strawberry,Fragaria vesca subsp. bracteata f. helleri,Tertiary,,,NA,
Strawberry,Fragaria x ananassa subsp. cuneifolia,Primary,,,NA,
Strawberry,Comarum palustre,Tertiary,,,NA,
Strawberry,Drymocallis glandulosa,Tertiary,,,NA,
Sunflower,Helianthus annuus,,,Abiotic,NA,Salt Tolerance (AB)
Sunflower,Helianthus decapetalus,Tertiary,,Biotic,NA,Disease Resistance (B)
Sunflower,Helianthus giganteus,Tertiary,,Abiotic,NA,Waterlogging Tolerance (AB)
Sunflower,Helianthus x laetiflorus,Tertiary,,Agronomic,NA,Crop Quality (AG)
Sunflower,Helianthus maximiliani,Tertiary,,Abiotic,NA,Cold Tolerance (AB)
Sunflower,Helianthus nuttallii,Tertiary,,Agronomic,NA,Crop Quality (AG)
Sunflower,Helianthus petiolaris,Secondary,,Agronomic,NA,Crop Quality (AG)
Sunflower,Helianthus petiolaris subsp. petiolaris,Secondary,,Abiotic,NA,Cold Tolerance (AB)
Sunflower,Helianthus pauciflorus,Tertiary,,Agronomic,NA,Crop Quality (AG)
Sunflower,Helianthus pauciflorus subsp. pauciflorus,Tertiary,,Agronomic,NA,Crop Quality (AG)
Sunflower,Helianthus pauciflorus subsp. subrhomboideus,Tertiary,,Abiotic,NA,Cold Tolerance (AB)
Tobacco,Nicotiana attenuata,Tertiary,,,NA,
"Walnut, Black",Juglans nigra,,,,NA,
Wheat,Elymus canadensis,Tertiary,,,NA,
Wheat,Elymus glaucus,Tertiary,,,NA,
Wheat,Elymus virginicus,Tertiary,,,NA,
Wheat,Leymus innovatus,Tertiary,,,NA,
Wheat,Leymus triticoides,Tertiary,,Abiotic,NA,Salt Tolerance (AB)
Wheat,Leymus cinereus,Tertiary,,,NA,
Wheat,Elymus elymoides,Tertiary,,,NA,
Wheat,Elymus hystrix,Tertiary,,,NA,
Wheat,Elymus trachycaulus,Tertiary,,Biotic,NA,Disease Resistance (B)
Wheat,Elymus macrourus,Tertiary,,,NA,
Wheat,Elymus trachycaulus subsp. trachycaulus,Tertiary,,,NA,
Wheat,Elymus curvatus,Tertiary,,,NA,
Wheat,Elymus lanceolatus,Tertiary,,,NA,
Wheat,Elymus scribneri,Tertiary,,,NA,
Wheat,Elymus wiegandii,Tertiary,,,NA,
Wheat,Elymus trachycaulus subsp. subsecundus,Tertiary,,,NA,
Wheat,Elymus lanceolatus subsp. lanceolatus,Tertiary,,,NA,
Wheat,Elymus glaucus subsp. glaucus,Tertiary,,,NA,
Wheat,Elymus lanceolatus subsp. psammophilus,Tertiary,,,NA,
Wheat,Elymus glaucus subsp. virescens,Tertiary,,,NA,
Wheat,Elymus lanceolatus subsp. riparius,Tertiary,,,NA,
Wheat,Elymus riparius,Tertiary,,,NA,
Wheat,Elymus hirsutus,Tertiary,,,NA,
Wheat,Elymus violaceus,Tertiary,,,NA,
Wheat,Elymus albicans,Tertiary,,,NA,
Wheat,Leymus mollis subsp. mollis,Tertiary,,,NA,
Wheat,Leymus mollis subsp. villosissimus,Tertiary,,,NA,
Wheat,Elymus alaskanus,Tertiary,,,NA,
Witch-Hazel,Hamamelis virginiana,,Graftstock,,NA,
